crime,death,112
diseases,deaths,173
stress,death,167
condition,pain,676
poisoning,death,150
pressure,pain,196
hiv,death,317
actions,death,158
poison,death,110
trauma,injury,114
anxiety,depression,253
stress,ulcers,239
sickness,death,96
radiation,cancer,336
virus,death,207
fall,injury,168
mutations,disease,201
viruses,diseases,554
infection,symptoms,221
attack,death,69
depression,insomnia,637
accident,damages,380
asthma,death,116
stress,symptoms,339
poverty,malnutrition,106
infections,deaths,80
virus,aids,3626
mutations,cancer,408
exhaustion,death,79
malaria,deaths,329
failure,death,280
smoking,emphysema,337
infection,illness,155
murder,death,172
exposure,cancer,185
illness,symptoms,135
alcoholism,death,79
injuries,deaths,101
dehydration,headaches,284
cirrhosis,death,116
accident,deaths,131
influenza,pneumonia,98
drugs,death,222
wounds,death,74
conflict,violence,59
infection,pain,292
surgery,pain,1195
abortion,death,74
injury,inflammation,156
depression,depression,69
exposure,illness,69
constipation,hemorrhoids,257
anemia,fatigue,444
asphyxiation,death,300
disease,mortality,112
war,famine,59
obesity,diseases,553
events,death,329
asbestos,cancer,332
consumption,death,118
injury,condition,126
measles,death,101
trauma,death,216
overuse,injury,59
lightning,fire,138
hunger,death,56
negligence,damages,258
infection,mortality,87
alcohol,violence,80
anxiety,symptoms,243
accident,loss,157
stress,diseases,214
explosion,death,236
issues,problems,97
corruption,poverty,126
anger,violence,107
poverty,violence,80
bacteria,acne,603
influenza,death,216
sin,suffering,170
depression,fatigue,178
stress,anxiety,300
tension,headaches,139
carelessness,death,53
problems,problems,147
carelessness,injury,86
bacteria,illness,389
imbalance,disease,98
accident,fire,62
bacteria,inflammation,261
cancer,pain,595
smoking,diseases,617
pneumonia,deaths,164
diabetes,complications,786
flooding,damage,364
hypertension,death,135
earthquakes,tsunamis,112
drinking,problems,148
infection,complications,108
collision,injury,62
problems,delays,62
mmr,autism,192
strangulation,death,220
fall,injuries,165
conditions,death,168
hypertension,stroke,165
illness,pain,213
flooding,deaths,80
toxins,disease,162
suicide,deaths,223
injury,damage,96
allergies,asthma,160
assault,death,64
infection,deaths,76
smoking,illnesses,158
fear,stress,100
actions,harm,190
negligence,loss,164
stress,acne,318
stress,condition,140
nerves,pain,110
actions,pain,95
depression,stress,101
crash,death,138
drugs,symptoms,243
earthquake,damage,492
homicide,death,678
violence,deaths,126
violence,injury,58
obesity,death,313
obesity,problems,211
viruses,disease,343
mutation,disease,162
fungus,disease,338
chemicals,cancer,663
stroke,paralysis,124
depression,anxiety,493
poverty,problems,192
diabetes,stroke,227
change,problems,130
inflammation,symptoms,178
virus,cancer,236
disease,problems,230
disorder,symptoms,253
cataracts,blindness,304
events,stress,67
surgery,death,81
malnutrition,disease,90
carelessness,accident,79
virus,illness,277
damage,death,192
error,death,72
diabetes,deaths,96
injury,symptoms,57
conditions,problems,159
bacteria,diarrhea,308
injuries,disability,143
action,death,66
attacks,death,91
infection,condition,113
fire,injury,94
negligence,accidents,188
illness,deaths,39
infection,problems,100
changes,problems,186
endometriosis,pain,279
condition,disability,59
acne,scars,249
activity,injury,88
work,stress,149
stress,headache,79
problems,pain,164
incident,injuries,140
conduct,injury,98
stress,illnesses,111
obesity,deaths,131
infections,disease,39
osteoarthritis,pain,1051
loss,depression,86
events,events,60
imbalance,illness,126
trauma,pain,272
tornado,damage,166
damage,cancer,253
pathogens,disease,100
deforestation,erosion,84
allergies,symptoms,555
accident,pain,188
storm,flooding,110
influenza,deaths,179
use,death,49
death,grief,63
starvation,deaths,83
cancer,symptoms,518
infection,meningitis,83
virus,symptoms,177
ignorance,suffering,191
conditions,pain,2610
fungus,infection,223
failure,injury,242
illnesses,death,458
abortion,depression,82
damage,pain,109
medications,problems,127
fires,deaths,62
condition,depression,106
mercury,autism,230
diarrhea,death,203
storms,flooding,49
apoplexy,death,217
complication,death,96
fever,death,55
change,confusion,59
alcohol,death,169
infection,pneumonia,110
fear,anger,265
smoking,cancers,174
sin,illness,85
sex,pregnancy,191
religion,violence,207
poverty,disease,79
burns,death,46
increase,increase,126
depression,symptoms,321
depression,problems,186
drugs,problems,375
diseases,disability,55
isolation,depression,176
religion,wars,163
aspartame,seizures,170
unemployment,poverty,60
caffeine,insomnia,169
violation,injury,115
inflammation,acne,38
sin,pain,88
fear,anxiety,120
neglect,injury,53
slip,injury,72
problems,stress,130
carelessness,accidents,142
malpractice,death,61
malpractice,injury,46
anxiety,nausea,74
tobacco,cancer,350
osteoarthritis,stiffness,141
wound,death,93
aids,deaths,205
behavior,harm,65
events,damage,178
malnutrition,diseases,109
infection,sepsis,48
conditions,symptoms,691
virus,infection,334
fatigue,accidents,82
ambiguity,confusion,47
friction,blisters,107
alcohol,depression,82
frustration,aggression,94
storms,damage,266
earthquake,fire,35
stress,cancer,92
attack,damage,167
anxiety,problems,94
arson,fire,240
convulsions,death,160
vomiting,dehydration,227
explosion,fire,79
arthritis,disability,411
gene,disease,85
seizure,death,30
actions,consequences,101
viruses,cancer,243
deforestation,desertification,75
fibromyalgia,symptoms,245
disease,complications,294
condition,infertility,107
inflammation,death,53
virus,fever,209
malnutrition,deaths,75
carelessness,injuries,88
operation,death,58
disobedience,death,96
bacteria,ulcers,916
injury,problems,86
incident,damage,78
shooting,death,27
stress,problem,76
stress,stress,112
act,injury,94
intoxication,injury,84
changes,increase,40
mutations,diseases,104
meningitis,death,72
accidents,damage,363
drugs,depression,87
fire,injuries,77
vandalism,damage,648
fire,deaths,80
toxins,cancer,107
bacteria,death,142
drugs,deaths,228
hurricanes,flooding,47
bacteria,illnesses,199
problems,death,138
violence,injuries,129
action,injury,59
alcohol,deaths,171
exposure,injury,73
disease,injury,55
irritation,pain,83
tension,pain,145
vaccine,death,60
diabetes,problems,222
stress,burnout,191
scoliosis,pain,46
obesity,hypertension,195
situation,problems,55
stress,diabetes,85
blow,death,39
anxiety,headaches,64
failure,loss,52
loneliness,depression,73
hypothyroidism,symptoms,455
thimerosal,autism,149
negligence,harm,85
smoking,problems,127
condition,problems,234
fear,tension,85
pain,insomnia,43
infections,diseases,51
defect,injury,191
stress,ibs,51
actions,injury,73
stress,conditions,135
alcohol,accidents,52
recklessness,death,30
stress,migraine,33
error,injury,32
adultery,divorce,42
infidelity,divorce,38
malaria,fever,66
acne,scarring,130
viruses,illness,134
chemotherapy,nausea,806
pathogen,disease,103
hiv,disease,121
disease,paralysis,90
famine,deaths,62
tuberculosis,deaths,140
heart,death,43
craving,suffering,266
pregnancy,death,91
syphilis,death,79
storms,floods,42
vaccine,autism,160
peritonitis,death,96
accident,fatality,88
encephalitis,death,40
condition,fatigue,126
weather,delays,316
act,death,149
diarrhea,deaths,71
trauma,damage,124
flu,deaths,95
depression,death,80
grief,depression,29
sugar,obesity,81
water,damage,349
hypoxia,death,47
rains,flooding,87
menopause,symptoms,934
addiction,death,67
frustration,anger,158
fibromyalgia,pain,539
stroke,disability,258
injury,paralysis,59
rain,flooding,118
heat,problems,73
obesity,disease,154
rainfall,flooding,62
breach,injury,272
stress,impotence,62
dehydration,dizziness,87
accident,problems,74
damage,problems,74
haemorrhage,death,50
anemia,death,28
bronchitis,death,46
fraud,losses,192
conflict,deaths,60
blockage,pain,55
allergies,problems,41
conduct,death,52
corrosion,leaks,37
drug,depression,83
problems,symptoms,205
deaths,deaths,73
overeating,obesity,78
attack,injury,32
fire,loss,330
wind,damage,250
birth,death,77
illness,depression,84
organism,infection,130
drugs,crime,57
dehydration,cramps,35
mesothelioma,death,40
strokes,death,176
symptoms,death,124
flu,pneumonia,83
virus,deaths,54
trauma,injuries,144
infection,cancer,62
violation,death,61
damage,symptoms,75
virus,diarrhea,98
acts,death,47
infection,infertility,69
illness,problems,72
drug,problems,146
sin,guilt,324
sin,sickness,243
stress,hypertension,86
bacteria,meningitis,294
mutation,cancer,67
problem,symptoms,91
fatigue,depression,83
obesity,conditions,92
dehydration,constipation,108
damage,disease,96
pcos,infertility,144
fall,fracture,32
hormones,acne,112
dehydration,fatigue,209
smoking,illness,98
uncertainty,anxiety,91
omission,injury,63
strain,pain,53
behavior,problems,129
deficiency,disease,35
errors,death,56
stress,migraines,92
injuries,problems,42
flu,death,103
poverty,hunger,148
spasm,pain,78
conflict,death,40
sugar,diabetes,156
anxiety,stress,74
disease,illness,60
smoking,bronchitis,104
diseases,mortality,46
condition,injury,54
faith,salvation,65
exposure,mesothelioma,146
injuries,suffering,32
deforestation,floods,38
conditions,injuries,25
virus,pneumonia,88
stroke,aphasia,114
events,changes,38
storm,deaths,112
exposure,deaths,32
disease,losses,118
diseases,symptoms,224
flood,damage,361
moisture,problems,104
death,pain,91
pain,anxiety,99
tobacco,deaths,147
earthquakes,damage,354
infections,inflammation,70
disease,inflammation,216
myocarditis,death,34
injury,infection,26
viruses,infection,139
complications,mortality,93
outbreak,deaths,114
drug,symptoms,65
toxins,death,65
collision,injuries,65
disease,disease,88
terrorism,death,43
mutations,cancers,34
leukemia,death,49
actions,deaths,57
collision,death,97
diseases,pain,184
accident,explosion,34
fire,damages,316
asthma,symptoms,148
movement,pain,116
benzene,leukemia,162
drug,deaths,60
irritation,inflammation,78
blockages,pain,35
war,devastation,143
pregnancy,complications,118
breach,damage,105
breach,loss,171
incidents,injuries,41
insomnia,depression,107
tsunami,devastation,194
confusion,problems,46
fractures,pain,85
drugs,violence,83
crash,injuries,104
rain,floods,37
cancer,problems,297
inflammation,disease,64
inflammation,damage,255
fever,seizures,41
masturbation,insanity,68
infection,damage,255
fatigue,errors,30
mistake,death,70
changes,confusion,66
anemia,symptoms,61
deficiency,depression,107
diarrhoea,death,73
cocaine,death,33
growth,problems,108
actions,loss,58
poverty,homelessness,46
bacteria,gingivitis,455
arthritis,inflammation,509
addiction,problems,110
virus,damage,194
diseases,blindness,118
tumor,pain,60
surgery,infection,32
frustration,violence,67
disease,loss,29
hyperthermia,death,119
anxiety,tension,35
error,error,47
drugs,addiction,82
war,war,127
joints,pain,189
smoking,stroke,187
inflammation,redness,130
diabetes,amputations,152
friction,heat,639
change,improvement,80
abuse,injury,74
disease,depression,69
genes,disease,82
attachment,suffering,175
symptoms,pain,67
hatred,violence,45
injury,arthritis,82
asbestos,disease,81
diversity,conflict,33
sin,destruction,43
technology,problems,64
poverty,terrorism,166
events,injury,140
pain,problems,99
trauma,symptoms,41
genes,diseases,50
inflammation,cancer,73
recklessness,injury,66
bacteria,symptoms,106
trauma,depression,83
sports,injuries,78
obesity,condition,64
toxins,diseases,116
osteoporosis,fracture,35
illnesses,symptoms,79
actions,damage,104
technology,changes,84
mutations,resistance,57
negligence,illness,35
conflict,displacement,18
dehydration,deaths,59
sins,death,66
inflammation,condition,64
complications,deaths,73
bacteria,odor,176
trauma,ptsd,49
infection,ulcers,204
smoking,wrinkles,71
sin,separation,43
pain,disability,172
stress,sleeplessness,66
stress,infertility,75
conditions,fatigue,59
muscles,pain,58
conditions,disease,33
anxiety,hyperventilation,45
problem,pain,102
event,injury,114
accidents,disability,26
dehydration,headache,39
fire,smoke,65
illness,fever,108
fear,violence,64
anger,depression,92
issues,stress,27
damage,aging,60
drought,starvation,21
tension,problems,31
treatment,death,20
infection,sinusitis,48
allergies,sinusitis,112
infection,encephalitis,40
gallstones,pancreatitis,88
hypothyroidism,depression,116
obesity,cancer,102
pregnancy,hemorrhoids,104
incest,pregnancy,567
malnutrition,illness,33
lightning,fires,100
event,damage,80
medication,depression,46
depression,disability,409
carcinogens,cancer,127
quake,tsunami,81
bacterium,disease,259
atherosclerosis,stroke,152
complications,stroke,36
war,suffering,137
microorganisms,disease,107
cholera,death,66
collapse,death,19
deficiency,death,34
a,b,101
incidents,death,45
x,y,189
retrovirus,aids,140
explosions,death,22
dysentery,death,40
use,injuries,31
viruses,infections,1212
adhesions,pain,218
obesity,complications,109
fear,aggression,38
measles,deaths,78
radiation,damage,886
infection,diseases,80
conditions,deaths,46
bacterium,infection,140
inflammation,discomfort,52
cancers,death,86
rain,damage,102
poverty,diseases,64
bomb,explosion,79
diseases,infertility,61
events,deaths,45
fungi,infection,109
toxicity,death,34
diabetes,neuropathy,116
trauma,infection,19
effects,death,77
situation,confusion,49
discrimination,poverty,26
epilepsy,seizures,1662
loss,grief,60
procedure,complications,142
strabismus,amblyopia,85
infection,arthritis,62
insulin,hypoglycemia,69
disease,weakness,57
condition,blindness,165
error,failure,35
condition,inflammation,222
rupture,death,31
pesticides,cancer,105
floods,damage,287
rains,landslides,44
crashes,injuries,62
polio,paralysis,99
tsunami,damage,184
prozac,suicide,62
stroke,problems,81
sciatica,pain,303
diseases,dementia,74
vaccine,deaths,31
obstruction,pain,35
vaccinations,autism,97
war,loss,56
injuries,infection,30
plaque,gingivitis,74
explosions,injuries,40
differences,problems,49
cigarettes,death,35
events,injuries,70
clot,stroke,160
stroke,damage,203
pain,death,67
disease,infertility,124
changes,improvements,17
deforestation,landslides,26
cancer,illness,43
conduct,harm,75
lightning,damage,211
inflammation,problems,39
attacks,deaths,45
illness,hospitalization,47
theft,loss,242
injury,complications,27
disease,decline,33
electrocution,death,65
disease,damage,281
diphtheria,death,63
treatment,complications,50
symptoms,distress,58
illnesses,deaths,34
unemployment,depression,25
drugs,hallucinations,55
errors,problems,108
stress,damage,420
smoking,damage,230
drinking,death,23
conditions,injury,36
suffocation,deaths,26
injuries,injuries,30
ignorance,confusion,42
overcrowding,disease,35
war,changes,66
fires,injuries,63
bleeding,death,99
germs,disease,202
childbirth,death,82
protests,violence,39
disease,problem,30
ailments,death,26
pain,anger,41
infection,aids,66
chemicals,problems,125
incidents,injury,49
omission,death,48
actions,accident,28
diabetes,strokes,43
capitalism,poverty,31
virus,outbreak,40
actions,violence,30
anaphylaxis,death,73
theft,damage,281
damage,loss,76
fatigue,stress,20
corruption,problems,25
alcohol,addiction,46
conditions,disability,40
problems,depression,99
pressure,symptoms,128
exposure,damage,67
injury,damages,160
moisture,mold,300
bone,pain,25
cancer,cancer,57
disease,suffering,170
accidents,damages,200
stress,anger,60
disease,dementia,63
crash,injury,132
death,loss,92
tumor,death,27
poverty,stress,112
diabetes,depression,42
viagra,blindness,85
misunderstanding,problems,43
change,stress,107
weather,problems,62
speeding,accidents,73
fear,problems,28
delay,prejudice,57
diet,disease,30
protein,inflammation,43
illness,stress,99
toxins,problems,61
exposure,symptoms,213
abuse,injuries,61
diabetes,amputation,112
stress,obesity,59
disease,fatigue,122
ignorance,problems,46
love,pain,50
acne,depression,96
bacteria,problems,117
bug,problems,62
obesity,arthritis,69
loss,loss,47
hypertension,strokes,126
collisions,death,102
surgery,scarring,75
toxins,illnesses,45
diet,problems,32
surgery,scars,60
death,sadness,30
neglect,deaths,44
injury,bleeding,31
bacteria,plaque,89
ptsd,depression,24
events,anxiety,35
stress,tension,104
fatigue,injuries,24
situations,stress,58
inflammation,asthma,43
violence,violence,90
injury,loss,82
inflammation,diseases,102
stroke,dementia,37
stress,injury,56
asbestos,illness,35
problems,infertility,163
pollen,allergies,78
inflammation,atherosclerosis,51
infections,pain,57
diabetes,impotence,80
fires,death,30
depression,pain,166
asbestos,death,33
conditions,depression,44
infection,abscess,37
stress,sickness,73
mold,allergies,55
diet,diabetes,25
violence,destruction,29
accident,fatalities,34
mistakes,injury,51
poverty,death,43
disability,poverty,39
overuse,pain,61
allergies,eczema,32
insomnia,anxiety,52
trachoma,blindness,102
bacteria,condition,139
imbalance,depression,40
toxins,illness,90
arson,death,53
mining,deforestation,24
famine,death,19
smoking,impotence,168
malaria,anemia,160
breach,harm,92
dysfunction,pain,23
action,harm,44
lightning,thunder,116
inflammation,scarring,97
disease,changes,49
snow,problems,80
antibiotics,diarrhea,183
recession,unemployment,30
sids,death,129
drug,effects,24
war,damage,253
injuries,paralysis,82
differences,conflicts,31
terminology,confusion,37
hurricane,flooding,43
rain,flood,33
event,death,26
negligence,fire,120
tornadoes,damage,60
accident,illness,54
religion,death,47
hpv,cancer,132
overwork,death,24
confusion,death,24
fracture,pain,70
compression,pain,83
earthquake,tsunamis,29
pollution,illness,22
illness,complications,68
hurricanes,damage,209
hurricane,damage,133
pain,nausea,62
disorder,death,89
overcrowding,problems,97
intoxication,death,37
uremia,death,22
condition,complications,304
hail,damage,174
nationalism,war,28
laziness,poverty,95
rains,floods,26
hazards,injuries,36
fire,explosion,85
conflict,war,35
alcohol,injuries,24
conflicts,violence,37
trauma,inflammation,39
earthquake,death,28
actions,problems,41
perseverance,success,77
virus,encephalitis,103
accident,suffering,35
fungi,infections,955
asbestos,diseases,195
marriage,divorce,50
diseases,condition,43
infections,diarrhea,536
conflict,destruction,19
bacteria,bronchitis,80
diabetes,condition,33
defect,accident,155
attitude,problems,61
testosterone,aggression,27
septicemia,death,63
accidents,losses,81
attacks,casualties,18
seizures,death,78
deficiency,diseases,32
diarrhoea,deaths,40
flooding,problems,49
earthquake,destruction,140
withdrawal,depression,23
arrhythmia,death,25
rain,delays,30
diseases,problems,61
battle,death,21
disease,condition,46
stress,miscarriage,15
agriculture,deforestation,41
infections,complications,74
bacteria,spoilage,34
stimulus,response,19
problems,failure,28
conflict,problems,31
act,damage,59
war,poverty,54
fire,heat,30
bacteria,conditions,43
religion,conflict,45
bacterium,ulcers,128
viruses,diarrhea,105
spasms,pain,1145
differences,confusion,60
thoughts,anxiety,122
homicide,deaths,83
alcoholism,problems,52
injustice,violence,44
corrosion,failure,28
attacks,injuries,44
greed,war,35
hiv,deaths,40
accident,accident,28
ischemia,pain,14
poverty,conflict,50
alcohol,damage,174
tb,deaths,63
sepsis,deaths,45
depression,alcoholism,35
influenza,illness,113
aging,changes,265
stress,changes,29
arthritis,problems,85
disease,arthritis,35
vaccines,death,89
uncertainty,stress,43
neglect,problems,56
uncertainty,fear,41
antibiotics,problems,77
drugs,aids,37
tobacco,death,187
infections,mortality,93
sin,shame,306
virus,problems,44
inflammation,arthritis,76
arrest,conviction,147
tumors,death,57
bacteria,odors,226
diabetes,cataracts,55
error,problem,315
inaction,harm,27
abuse,damage,459
activities,injuries,95
rain,problems,60
blockage,stroke,45
allergy,asthma,76
anorexia,death,187
anger,anxiety,31
ad,dementia,57
injuries,hospitalization,35
virus,problem,70
defect,injuries,39
antihistamines,drowsiness,173
water,corrosion,54
exposure,illnesses,69
death,life,107
drug,damage,47
infection,morbidity,77
change,anxiety,34
food,symptoms,56
drinking,violence,17
complications,problems,335
ignorance,fear,84
injuries,damages,154
gallstones,symptoms,93
pain,stress,64
toxins,symptoms,50
incident,loss,32
heat,fire,53
sin,disease,70
neuropathy,pain,117
smoking,mortality,45
illness,anxiety,29
changes,stress,69
ignorance,death,34
trauma,problems,22
bacteria,halitosis,64
virus,flu,125
stress,constipation,27
nerve,pain,42
stress,disorders,73
diet,acne,99
nsaids,ulcers,102
tension,headache,34
ignorance,discrimination,18
depression,obesity,75
cannabis,schizophrenia,39
misconduct,injury,24
wounds,infection,22
violence,pain,31
arthritis,discomfort,112
stroke,deaths,94
accident,losses,68
activity,pain,88
change,changes,52
stress,overeating,40
change,increase,518
violence,displacement,22
use,injury,49
nicotine,cancer,41
differences,conflict,75
medications,insomnia,44
food,allergies,46
unemployment,foreclosures,38
viruses,symptoms,54
inactivity,obesity,65
drugs,complications,42
wind,problems,31
chemicals,inflammation,53
pesticides,problems,53
dehydration,problems,69
problems,anxiety,25
germ,disease,65
allergies,congestion,75
drugs,insomnia,262
anxiety,pain,41
diabetes,ed,34
conditions,problem,35
virus,cold,41
stress,asthma,37
mrsa,death,30
thoughts,feelings,52
infertility,stress,65
action,reaction,187
negligence,deaths,68
disability,death,40
malaria,anaemia,29
medications,death,127
conflict,anxiety,18
tooth,pain,27
uncertainty,confusion,14
thrombocytopenia,bleeding,21
stress,nightmares,39
virus,condition,61
anxiety,problem,19
error,confusion,77
greed,suffering,38
violation,accident,35
hypertension,deaths,40
toxins,inflammation,52
poverty,illness,33
dehydration,symptoms,41
situations,anxiety,38
events,pain,35
earthquake,fires,74
omissions,death,27
stress,diarrhea,54
injury,hospitalization,20
emotions,depression,24
disease,malnutrition,35
pregnancy,changes,67
compression,symptoms,22
anovulation,infertility,31
infection,conjunctivitis,31
anxiety,palpitations,23
allergens,asthma,84
smoking,atherosclerosis,53
conditions,anxiety,34
earthquakes,landslides,90
disease,seizures,53
collision,damage,72
hypoglycemia,symptoms,92
organism,disease,139
practice,problems,31
film,controversy,84
disease,cancer,31
mutations,phenotypes,21
wars,deaths,29
lung,death,14
chemicals,diseases,77
injury,scarring,40
pollution,death,23
despair,suicide,36
complexity,problems,47
fire,destruction,105
deficiency,anemia,103
symptoms,problems,121
condition,headaches,51
disease,fever,73
infections,symptoms,85
heat,damage,162
earthquake,devastation,250
collisions,injuries,28
infections,miscarriage,50
hypothermia,deaths,22
incidents,fatalities,48
exposure,injuries,29
asbestos,cancers,63
infection,gangrene,46
congestion,delays,46
crash,fire,21
freezing,damage,64
god,death,45
slavery,war,95
competition,problems,19
mesothelioma,symptoms,69
mesothelioma,deaths,32
symptoms,diagnosis,77
smoking,conditions,28
crash,fatalities,22
efforts,success,38
chemicals,disease,39
disease,confusion,52
decapitation,death,29
predation,mortality,36
procedure,pain,119
overpopulation,poverty,43
failures,success,34
behavior,injury,32
accident,harm,68
capitalism,problems,44
use,problems,103
melanoma,deaths,49
storm,fatalities,33
germs,diseases,64
fear,death,21
flooding,losses,68
events,depression,45
death,depression,18
abortion,infertility,57
money,problems,39
events,accident,67
radiation,cancers,120
dehydration,confusion,36
technology,change,28
arson,fires,24
problem,failure,18
damage,damage,182
noise,problems,41
pollution,problems,60
ncds,deaths,24
condition,deaths,15
viruses,cancers,102
stressors,depression,25
hepatitis,death,21
vaccination,autism,87
complications,pneumonia,19
chemicals,illness,36
injuries,loss,15
osteoarthritis,symptoms,64
neglect,damage,165
bacteria,sinusitis,125
operation,complications,73
organisms,disease,97
floods,deaths,47
pain,suffering,53
events,war,128
damage,injury,19
strains,pain,1241
violence,disability,37
injury,disease,38
delays,problems,35
failure,accident,24
trauma,fracture,15
jealousy,murder,18
tornado,injuries,43
situation,frustration,29
corrosion,problems,44
symptoms,symptoms,38
exposure,harm,37
aspiration,death,15
tb,death,334
melanoma,death,59
maladministration,injustice,45
disaster,deaths,53
unemployment,crime,48
neglect,injuries,1620
impact,damage,346
infection,discomfort,65
mutations,changes,17
condition,infection,49
chemical,cancer,422
floods,destruction,46
diabetes,hypertension,30
success,problems,31
water,problems,104
hazing,death,27
earthquake,deaths,37
negligence,collision,23
lightning,death,33
hurricanes,floods,23
hypothyroidism,fatigue,86
conditions,illness,25
obesity,depression,82
malaria,morbidity,174
microbes,disease,54
obesity,cancers,43
flu,complications,168
deregulation,problems,20
parasite,disease,381
fatigue,accident,26
exposure,diseases,100
power,corruption,37
masturbation,blindness,43
treatment,changes,19
influenza,mortality,39
imperialism,war,52
thrombosis,stroke,158
theft,losses,208
disease,disabilities,67
pain,fear,43
errors,delays,48
stress,breakdown,14
malaria,mortality,130
bugs,problems,58
overgrazing,desertification,44
hemorrhoids,bleeding,44
floods,death,29
delay,problems,81
religion,war,158
measles,encephalitis,70
cancer,depression,28
infection,jaundice,14
alcohol,insomnia,51
frustration,depression,31
oa,pain,57
tendons,pain,104
obesity,illness,55
asthma,problems,35
inflammation,diabetes,47
stress,inflammation,94
relapse,death,27
globalization,problems,46
illness,fatigue,76
b,c,81
condition,anxiety,40
copd,deaths,20
persistence,success,56
cigarettes,cancer,148
medications,condition,82
problem,discomfort,26
germs,infection,69
inaction,death,20
separation,pain,26
cancer,damage,41
breach,damages,272
pid,infertility,221
depression,sleeplessness,42
medications,constipation,120
radiation,nausea,88
conditions,failure,17
design,problems,21
cars,pollution,33
anger,problems,23
cancer,suffering,80
overuse,injuries,101
insomnia,fatigue,38
treatment,pain,99
allergy,symptoms,119
bacteria,uti,89
chlamydia,infertility,89
problems,errors,22
defect,death,35
yeast,fermentation,31
viruses,pneumonia,100
infertility,depression,28
actions,suffering,39
crashes,injury,59
guilt,depression,38
abuse,addiction,67
ignorance,sin,68
change,pain,66
issues,depression,15
failure,depression,25
dehydration,nausea,66
adhd,problems,93
menopause,problems,145
complications,hospitalization,79
dust,allergies,112
damage,diseases,42
flu,symptoms,180
damage,wrinkles,30
substance,symptoms,76
deficiency,problems,57
pain,discomfort,56
influenza,complications,69
medication,symptoms,38
illnesses,depression,31
bacteria,sickness,37
grace,salvation,19
problems,problem,28
vaccine,disease,63
gout,pain,210
crime,injury,48
actions,events,18
influenza,hospitalizations,59
atherosclerosis,strokes,110
death,losses,34
infections,cancer,56
errors,injury,31
bacteria,problem,91
fibroids,infertility,68
disease,diarrhea,98
jaundice,death,13
exposure,asthma,22
cataract,blindness,134
actions,changes,18
moisture,rot,31
behaviors,problems,23
wind,waves,29
toxin,death,62
anxiety,behavior,19
mistakes,injuries,59
fear,pain,64
stress,discomfort,29
gangrene,death,27
chernobyl,deaths,27
conditions,cancer,37
symptoms,complications,30
obesity,obesity,23
tendonitis,pain,106
strain,injury,28
mercury,problems,29
distractions,accidents,43
abuse,deaths,25
behavior,pain,43
software,problems,41
abuse,depression,49
situation,stress,62
disease,stress,77
depression,illness,45
war,displacement,21
poverty,neglect,22
surgery,damage,41
accident,trauma,36
product,injury,81
inexperience,accidents,20
procrastination,stress,40
menopause,insomnia,20
boredom,problems,33
fear,panic,26
illness,diarrhea,111
feelings,anxiety,22
age,wrinkles,27
events,trauma,42
zyprexa,diabetes,73
bacteria,cavities,124
sin,misery,39
inexperience,mistakes,19
tension,stress,27
activities,injury,61
liver,death,25
dizziness,nausea,26
illness,illness,22
deforestation,flooding,33
injuries,disabilities,45
vaccine,injury,53
mistakes,death,72
floods,losses,40
stress,suicide,25
imbalance,symptoms,40
inaction,injury,22
vaccine,harm,61
